,Rteam_TOP,Bteam_TOP,Rteam_MIDDLE,Bteam_MIDDLE,Rteam_BOTTOM,Bteam_BOTTOM,Rteam_SUPPORT,Bteam_SUPPORT,Rteam_JUNGLE,Bteam_JUNGLE
3528,Kled,Akali,Zoe,Leblanc,Lucian,Ezreal,Karma,Thresh,XinZhao,LeeSin
3531,Akali,Ryze,Zoe,Jayce,Kaisa,Lucian,Pantheon,Thresh,LeeSin,Rammus
3532,Jayce,Quinn,Leblanc,TwistedFate,Caitlyn,Twitch,Morgana,Fiddlesticks,Taliyah,Zac
3537,Aatrox,Kayn,Zed,Ahri,Jhin,MissFortune,Blitzcrank,Blitzcrank,Vayne,LeeSin
3541,MonkeyKing,Irelia,Qiyana,Katarina,Kaisa,Ezreal,Zilean,Thresh,Zac,LeeSin
3543,Camille,Morgana,Ryze,Garen,Vayne,Ashe,XinZhao,Pyke,LeeSin,DrMundo
3553,Jayce,Sylas,Zed,Lucian,Ashe,Ezreal,Nautilus,Yuumi,Taliyah,LeeSin
3554,Garen,Darius,Kassadin,Leblanc,Jinx,Draven,Pyke,Lulu,Sylas,Shaco
3568,Urgot,Kayle,Leblanc,Ezreal,Taliyah,Kaisa,Pyke,Thresh,Shaco,LeeSin
3572,Irelia,Aatrox,Jayce,Taliyah,Velkoz,Lucian,Karma,Leona,Nidalee,Ekko
3574,Vladimir,Jax,Taliyah,Orianna,Lucian,Xayah,Yuumi,Morgana,Nunu,LeeSin
3578,Malphite,Pantheon,Leblanc,Zoe,Ashe,Lucian,Yuumi,Thresh,RekSai,Olaf
3579,Riven,Kayle,Taliyah,Galio,Lucian,Kaisa,Volibear,Nautilus,Karthus,Sylas
3580,Irelia,Renekton,Taliyah,Ekko,Lucian,Kaisa,Soraka,Leona,Gragas,JarvanIV
3586,Rengar,Renekton,Yasuo,Neeko,Xayah,Lucian,Thresh,Pyke,Ekko,Khazix
3588,Vladimir,Renekton,Zed,Rumble,Kalista,Lucian,Thresh,Nautilus,Elise,Nidalee
3590,Renekton,Mordekaiser,Ekko,Leblanc,Lucian,Twitch,Volibear,Rakan,XinZhao,Khazix
3591,Darius,Amumu,Orianna,Ahri,Lucian,Kaisa,Braum,Nautilus,LeeSin,Nunu
3592,Jax,Aatrox,Zed,TwistedFate,Karthus,Kaisa,Nautilus,Morgana,Graves,Nidalee
3602,Renekton,DrMundo,Anivia,Syndra,Kaisa,Ezreal,Pyke,Nautilus,JarvanIV,LeeSin
3605,Aatrox,Jayce,Irelia,Anivia,Lucian,Kaisa,Janna,Nautilus,Gragas,Olaf
3607,Kennen,Lucian,Anivia,Morgana,Kaisa,Ashe,Alistar,Leona,Khazix,LeeSin
3608,Jayce,Kled,Anivia,Nunu,Lucian,Draven,Thresh,Leona,Karthus,Gragas
3609,Camille,Garen,Galio,Ryze,Vladimir,Kaisa,Pyke,Leona,RekSai,LeeSin
3612,LeeSin,Quinn,Lulu,Anivia,KogMaw,Kaisa,Nautilus,Thresh,Camille,Jax
3613,Kennen,Gangplank,Anivia,Akali,Kaisa,Ezreal,Galio,Thresh,Kindred,Ekko
3616,Gangplank,Kayle,Zoe,Anivia,Kaisa,Xayah,Galio,Nautilus,Gragas,Poppy
3620,Renekton,JarvanIV,Ryze,Anivia,Taliyah,Caitlyn,Thresh,Rakan,Olaf,Kindred
3625,Garen,Kennen,Anivia,Irelia,Xayah,Ashe,Shaco,Nautilus,Ekko,LeeSin
3635,Akali,Camille,Anivia,Orianna,Kaisa,Caitlyn,Leona,Morgana,Taliyah,Aatrox
3637,Illaoi,Garen,Akali,Anivia,Lucian,Xayah,Blitzcrank,Soraka,Nidalee,Elise
3645,Akali,Kayle,Anivia,Orianna,MissFortune,Lucian,Braum,Pyke,Elise,LeeSin
3651,Malphite,Jayce,Anivia,Talon,Lucian,Xayah,Brand,Fiddlesticks,LeeSin,Nidalee
3656,Illaoi,Renekton,Anivia,Akali,Ashe,Jhin,Bard,Zyra,Karthus,Nunu
3657,Malzahar,Talon,Garen,Camille,Lucian,Kaisa,Leona,Anivia,Elise,Olaf
3663,Tristana,Gnar,Pyke,Anivia,Veigar,Ezreal,Leona,Fiddlesticks,Elise,Taliyah
3667,Gangplank,Leblanc,Anivia,Xerath,Caitlyn,Xayah,Zilean,Rakan,Khazix,RekSai
3670,Ornn,Ryze,Anivia,Aatrox,Kaisa,Ashe,Thresh,Nautilus,Olaf,RekSai
3679,Anivia,Olaf,Qiyana,Riven,Kaisa,Xayah,Pyke,Leona,Ekko,Karthus
3683,Jayce,Anivia,Syndra,Tristana,Kaisa,Xayah,Leona,Rakan,Elise,LeeSin
3686,Kayle,Anivia,Yasuo,Syndra,Lucian,Ezreal,Soraka,Lulu,Ekko,Kindred
3693,Jayce,Poppy,Anivia,Camille,Kaisa,Ezreal,Thresh,Karma,RekSai,Ekko
3697,Garen,Kled,Camille,Yasuo,Anivia,Kaisa,Swain,Velkoz,LeeSin,Ekko
3701,Kennen,Shen,Qiyana,Irelia,Xayah,MissFortune,Zyra,Thresh,Ekko,LeeSin
3705,Kayle,Teemo,Camille,Talon,Vayne,Kaisa,Zyra,Leona,Nunu,Khazix
3708,Akali,Urgot,Pantheon,Talon,Jhin,Twitch,Zyra,Bard,Taliyah,Karthus
3715,Illaoi,Renekton,Anivia,Akali,Ashe,Jhin,Bard,Zyra,Karthus,Nunu
3716,Ryze,Darius,Zed,Talon,Lucian,Xayah,Zyra,Xerath,Graves,Nunu
3717,Lucian,Ryze,Zoe,Qiyana,Kaisa,Ashe,Zyra,Pyke,Nidalee,LeeSin
3719,Lulu,Vladimir,Lucian,Fizz,MissFortune,Varus,Fiddlesticks,Zyra,LeeSin,Khazix
3725,Garen,Camille,Tristana,Irelia,Morgana,Ashe,Rakan,Zyra,RekSai,Gragas
3729,Akali,Ornn,Taliyah,Leblanc,Kaisa,Ezreal,Nautilus,Morgana,Nidalee,LeeSin
3730,Fiora,Singed,Renekton,Katarina,Kaisa,Ezreal,Thresh,Zyra,Elise,Taliyah
3732,Riven,Rengar,Viktor,Tristana,Kaisa,Xayah,Swain,Zyra,Ekko,LeeSin
3733,Fiora,Olaf,Singed,Syndra,Yasuo,Ezreal,Thresh,Morgana,Elise,RekSai
3736,Fiora,Ryze,Xerath,Pantheon,Xayah,Lucian,Leona,Rakan,DrMundo,Ekko
3738,Lucian,Kayle,Tristana,Syndra,MissFortune,Ashe,Volibear,Zyra,Elise,JarvanIV
3741,Garen,Kled,Vladimir,TwistedFate,Kaisa,Xayah,Leona,Morgana,Ekko,Nunu
3743,Garen,Kayle,Leblanc,Pantheon,Kaisa,Ezreal,Pyke,Zyra,JarvanIV,LeeSin
3745,Pantheon,Jayce,Yasuo,TwistedFate,Kaisa,Xayah,Zyra,Leona,Taliyah,Ivern
3750,Gangplank,Mordekaiser,Orianna,Syndra,Xayah,Ashe,Zyra,Thresh,DrMundo,LeeSin
3755,Poppy,Aatrox,Chogath,AurelionSol,Xayah,Twitch,Zyra,Janna,Kayn,Nunu
3756,Shen,Vladimir,Qiyana,Zed,Xayah,Kaisa,Rakan,Zyra,Karthus,Ekko
3757,Heimerdinger,Kayle,Zed,Nocturne,Kaisa,Sivir,Thresh,Zyra,Gragas,Nidalee
3761,Aatrox,Irelia,Kayle,Nocturne,Lucian,Ezreal,Karma,Zyra,Nidalee,Ekko
3763,Karma,Tristana,Orianna,Galio,Draven,Ezreal,Morgana,Zyra,Olaf,LeeSin
3766,Jax,Renekton,Zoe,Yasuo,Ashe,Vladimir,Zyra,Pyke,Elise,Karthus
3767,Jax,Riven,Irelia,Taliyah,Kaisa,Ashe,Janna,Zyra,JarvanIV,LeeSin
3771,Viktor,Vladimir,Ahri,Lux,Lucian,Caitlyn,Janna,Nami,Hecarim,LeeSin
3774,Garen,Aatrox,Lissandra,Akali,Kaisa,Caitlyn,Zyra,Morgana,RekSai,Ekko
3779,Vayne,Rengar,Leblanc,Yasuo,MissFortune,Kaisa,Morgana,Pyke,Ekko,Nunu
3780,Renekton,Lucian,Leblanc,Camille,Kaisa,MissFortune,Zyra,Volibear,LeeSin,Ekko
3781,Tristana,Irelia,Leblanc,Anivia,Varus,MissFortune,Velkoz,Zyra,LeeSin,Ekko
3790,Shen,Camille,TwistedFate,Orianna,Kaisa,Xayah,Pyke,Zyra,Sylas,Ekko
3791,Camille,Vladimir,Irelia,Pantheon,Jhin,Caitlyn,Fiddlesticks,Zyra,Gragas,LeeSin
3794,Gangplank,Ryze,Qiyana,Renekton,Kaisa,MissFortune,Leona,Zyra,Taliyah,LeeSin
3796,Pantheon,Irelia,Lucian,Renekton,Caitlyn,Jhin,Morgana,Zyra,Nidalee,Elise
3798,Renekton,Gangplank,Malzahar,Ryze,Ezreal,Lucian,Pyke,Zyra,Karthus,LeeSin
3820,Pantheon,Vayne,Jayce,Nocturne,Jinx,Kaisa,Thresh,Pyke,Nidalee,Elise
3829,Fiora,Ryze,Vladimir,Morgana,Tristana,Kaisa,Leona,Thresh,Ekko,Udyr
3832,MonkeyKing,Darius,Morgana,Diana,Jinx,Kaisa,Thresh,Pyke,JarvanIV,Warwick
3838,Fiora,Hecarim,Akali,Kennen,Ashe,Tristana,Volibear,Nautilus,Elise,Ekko
3840,Poppy,Yorick,Katarina,Vladimir,Xayah,Lucian,Leona,Pyke,LeeSin,Zac
3841,Gangplank,Vladimir,Garen,Aatrox,Ekko,Lucian,Thresh,Zyra,LeeSin,Graves
3842,Aatrox,Akali,Taliyah,Fizz,Lucian,Kaisa,Leona,Gragas,RekSai,XinZhao
3843,Renekton,Aatrox,Galio,Azir,Garen,Ezreal,Yuumi,Karma,Khazix,Olaf
3846,Riven,Jax,Katarina,Irelia,Kaisa,Lucian,Leona,Alistar,Nidalee,Elise
3848,Karma,Yasuo,Ahri,Zed,MissFortune,Tristana,Neeko,Janna,Rengar,Karthus
3852,Pantheon,Vayne,Akali,Ezreal,Ashe,Ashe,Nami,Karma,RekSai,Nocturne
3853,Garen,Kayle,TwistedFate,Malzahar,Ashe,Ezreal,Xerath,Ornn,LeeSin,LeeSin
3854,Tryndamere,Swain,Zed,Pyke,Kalista,Lucian,Nautilus,Thresh,Hecarim,LeeSin
3858,Renekton,Kled,Talon,Fizz,Kaisa,Ezreal,Rakan,Leona,Nidalee,Ekko
3860,Gangplank,Akali,Ryze,TwistedFate,Xayah,Kaisa,Leona,Nautilus,Elise,RekSai
3863,Riven,Poppy,Camille,Katarina,Leblanc,Lucian,Janna,Leona,Olaf,Ekko
3873,Camille,Fiora,Akali,Kayle,Lucian,Jinx,Nautilus,Morgana,LeeSin,Ekko
3878,Jayce,Camille,Leblanc,Fizz,Lucian,Caitlyn,Karma,Morgana,Nidalee,Elise
3882,Jax,Aatrox,Akali,Xerath,Ezreal,Lucian,Nautilus,Leona,LeeSin,Ekko
3883,Gangplank,Kennen,Zed,Ezreal,Kaisa,Xayah,Nautilus,Rakan,Evelynn,Shyvana
3885,Karma,Camille,Galio,Zoe,MissFortune,Lucian,Bard,Thresh,Kindred,Gragas
3886,Camille,Kennen,Pyke,Aatrox,Vayne,Xayah,Morgana,Leona,Ekko,Gragas
3888,Pantheon,Camille,Zoe,Akali,Kaisa,Ashe,Leona,Karma,Shyvana,Karthus
3895,Vladimir,Riven,Ryze,Lissandra,Ashe,Kaisa,Morgana,Karma,JarvanIV,Amumu
3896,Volibear,Tryndamere,Katarina,Syndra,Kaisa,Lucian,Rengar,Thresh,Shyvana,Elise
3897,Camille,Irelia,TwistedFate,Heimerdinger,Draven,Lucian,Zilean,Leona,LeeSin,Hecarim
3898,Karma,Aatrox,Kassadin,Cassiopeia,Xayah,Jinx,Rakan,TahmKench,Kindred,LeeSin
3899,Karma,Darius,Sylas,Ziggs,Lucian,Xayah,Nautilus,Gragas,Kayn,LeeSin
3900,Kayle,Ryze,Kennen,Orianna,Xayah,Ashe,Blitzcrank,Fiddlesticks,XinZhao,LeeSin
3904,Jax,Fiora,Taliyah,Zed,Ezreal,Caitlyn,Swain,Braum,Elise,Nidalee
3905,Kennen,Renekton,TwistedFate,Orianna,Xayah,Lucian,Pyke,Rakan,LeeSin,Nidalee
3907,Vayne,Gangplank,Talon,Zoe,MissFortune,Xayah,Alistar,Bard,Nidalee,Khazix
3908,Jayce,Irelia,Akali,Ahri,Ezreal,Ashe,TahmKench,Janna,LeeSin,Nidalee
3909,Kayle,Jayce,TwistedFate,Ahri,Xayah,Kaisa,Nautilus,Morgana,Graves,LeeSin
3914,Kennen,Ryze,Qiyana,Aatrox,Ashe,Lucian,Leona,Thresh,Elise,Ekko
3925,Lucian,Kayle,Qiyana,Akali,Taliyah,Xayah,Volibear,Soraka,Evelynn,LeeSin
3926,Ryze,Kayle,Qiyana,Yasuo,Ashe,Kaisa,Leona,Pyke,Karthus,Gragas
3931,Camille,Camille,Lucian,Lissandra,Ezreal,Ashe,Lux,Volibear,Kaisa,Shaco
3932,Kayle,Jayce,Garen,Sylas,Xayah,Kaisa,Rakan,Nautilus,Skarner,Qiyana
3933,Ryze,Vladimir,Zoe,Kled,Ashe,Ezreal,Thresh,TahmKench,Qiyana,Taliyah
3934,Jayce,Irelia,Ezreal,Talon,Xayah,Kaisa,Galio,Ornn,LeeSin,Karthus
3936,Neeko,Gragas,Akali,Zoe,Kaisa,Caitlyn,Karma,Morgana,Olaf,LeeSin
3937,Renekton,Vladimir,Leblanc,Akali,Xayah,Lucian,Galio,Nautilus,Elise,Qiyana
3940,Gangplank,Garen,Leblanc,Tristana,Kaisa,Ashe,Blitzcrank,Pyke,Qiyana,Elise
3942,Ryze,Jayce,Pyke,Leblanc,Kaisa,Lucian,Gragas,Nautilus,RekSai,Nidalee
3946,Vladimir,Kennen,Qiyana,Yasuo,Kaisa,Lucian,Soraka,Gragas,Nidalee,LeeSin
3949,Camille,Jayce,Garen,Vladimir,Xayah,Kaisa,Rakan,Nautilus,Elise,LeeSin
3951,Jax,Lulu,Zed,Zoe,Jinx,Kaisa,Zyra,Swain,Taliyah,LeeSin
3954,Ornn,Akali,Leblanc,Zed,Caitlyn,Kaisa,Morgana,Nautilus,LeeSin,Karthus
3955,Poppy,Jax,Leblanc,Lucian,Tristana,Ashe,Gragas,TahmKench,Ekko,Nidalee
3956,Irelia,Kayle,TwistedFate,Akali,Caitlyn,Kaisa,Thresh,Leona,Elise,LeeSin
3961,Jayce,Akali,Irelia,Qiyana,Kaisa,Tristana,Morgana,Blitzcrank,Elise,Ekko
3965,Vladimir,Poppy,Tristana,Leblanc,Ashe,Ezreal,Blitzcrank,Braum,Elise,LeeSin
3967,Ryze,Ornn,Galio,Garen,Ezreal,Ashe,Pyke,Kennen,LeeSin,Kindred
3968,Draven,DrMundo,Veigar,Heimerdinger,Ezreal,Ashe,Janna,Swain,Nidalee,LeeSin
3971,Kled,Fiora,Ahri,Leblanc,Kaisa,Lucian,Rakan,Thresh,Elise,LeeSin
3972,Kled,Lucian,Zoe,Galio,Kaisa,Tristana,Pyke,Rakan,LeeSin,Kindred
3973,Jayce,Jax,Leblanc,Malzahar,Ezreal,Ashe,Blitzcrank,Janna,LeeSin,Ekko
3976,Aatrox,Ornn,Leblanc,Akali,Lucian,Kaisa,Bard,Karma,LeeSin,RekSai
3982,Vladimir,Gangplank,TwistedFate,Talon,Lucian,Kaisa,Blitzcrank,Thresh,LeeSin,Gragas
3984,Renekton,Jayce,Talon,Karthus,Xayah,Jinx,Swain,Lux,Nidalee,LeeSin
3989,Irelia,Karthus,Qiyana,Zoe,Lucian,Kaisa,Janna,Pyke,Shaco,LeeSin
3994,Aatrox,Kayle,Ryze,Leblanc,Ezreal,Xayah,Rakan,Thresh,LeeSin,Nidalee
3997,Renekton,Zac,Anivia,Katarina,Lucian,Ezreal,Janna,Zyra,Khazix,Olaf
4001,Karma,Rengar,Talon,Galio,Ezreal,Xayah,Taric,Blitzcrank,Karthus,JarvanIV
4003,Vladimir,Gangplank,Qiyana,Talon,Xayah,Ezreal,Rakan,Karma,Kindred,Ekko
4004,TwistedFate,Zilean,Talon,Renekton,Kaisa,Vayne,Blitzcrank,Nami,Ekko,Fiddlesticks
4005,Aatrox,Irelia,Akali,Katarina,Ezreal,Kaisa,Pyke,Leona,JarvanIV,Karthus
4011,Jax,Vladimir,Katarina,Talon,Jinx,Xayah,Rakan,Blitzcrank,LeeSin,Kindred
4015,Rumble,Quinn,Talon,Leblanc,MissFortune,Xayah,Leona,Fiddlesticks,Elise,LeeSin
4022,Quinn,Chogath,Syndra,Katarina,Ezreal,Lucian,Bard,Nami,Elise,Zac
4023,Hecarim,Urgot,Talon,Leblanc,Lucian,Jhin,Thresh,Xerath,Evelynn,Graves
4026,Ornn,Ryze,Talon,Renekton,Xayah,Lucian,Rakan,Leona,Karthus,Nidalee
4027,Darius,Gangplank,Ahri,Talon,Kaisa,Draven,Shen,Nautilus,Rammus,Taliyah
4028,Fiora,Darius,Diana,Talon,Ezreal,Kaisa,Karma,Lux,Shyvana,Nidalee
4029,Jax,Shen,Talon,Vladimir,Kaisa,Ezreal,Rakan,Bard,Ekko,LeeSin
4030,Maokai,Mordekaiser,Talon,Qiyana,Lucian,Kaisa,Pyke,Rakan,JarvanIV,LeeSin
4040,Sylas,Mordekaiser,Talon,Yasuo,Draven,Xayah,Thresh,Pyke,LeeSin,Sylas
4041,Poppy,Bard,Katarina,Annie,Xayah,Ashe,Zyra,Zyra,LeeSin,LeeSin
4046,Garen,Malphite,Katarina,Pyke,Lucian,Ashe,Leona,Zilean,Camille,Ivern
4048,Pantheon,Mordekaiser,Talon,Xerath,Kaisa,Xayah,Lulu,Rakan,JarvanIV,JarvanIV
4049,TahmKench,Vayne,Yasuo,Talon,Lucian,Xayah,Blitzcrank,Yuumi,DrMundo,Warwick
4052,Vladimir,Darius,Talon,Tryndamere,Kaisa,Kaisa,Bard,Thresh,LeeSin,Sylas
4057,Neeko,Pyke,Yasuo,Talon,Caitlyn,Lucian,Pyke,Nami,Kaisa,XinZhao
4059,Olaf,Tryndamere,Talon,Orianna,Ezreal,Xayah,Lulu,Leona,Shyvana,Nidalee
4063,Renekton,Kennen,Fizz,Talon,Ezreal,Xayah,Bard,Leona,LeeSin,Hecarim
4064,Jax,Gangplank,Qiyana,Jayce,Katarina,Xayah,Thresh,Rakan,Evelynn,JarvanIV
4069,Cassiopeia,Fiora,Karma,Talon,Lucian,Caitlyn,Braum,Thresh,LeeSin,Shyvana
4070,Teemo,DrMundo,Talon,Lucian,Jinx,Sivir,Rumble,Blitzcrank,Udyr,Kayn
4071,Sylas,Gangplank,Morgana,Talon,Ezreal,Kaisa,Lux,Pyke,Shyvana,LeeSin
4072,Poppy,Leona,Talon,Ezreal,Tristana,KogMaw,Leona,Lulu,LeeSin,LeeSin
4073,Hecarim,DrMundo,Katarina,Ahri,Kaisa,Jhin,Nami,Pyke,RekSai,Sylas
4083,Shen,Garen,Pyke,Katarina,Caitlyn,Kaisa,Zyra,Janna,Nocturne,LeeSin
4084,Irelia,Fiora,Talon,Sylas,Xayah,Kaisa,Pyke,Zilean,Amumu,JarvanIV
4085,Ekko,Mordekaiser,Talon,Garen,Ezreal,Kaisa,Pyke,Morgana,Khazix,Pantheon
4092,Fiora,Darius,Leblanc,Katarina,Ezreal,Kaisa,Neeko,Blitzcrank,Nocturne,Fizz
4097,Renekton,Pantheon,MonkeyKing,Galio,MissFortune,Xayah,Blitzcrank,Rakan,Evelynn,Ekko
4101,Nasus,Heimerdinger,Veigar,Ahri,Kaisa,TwistedFate,Blitzcrank,Thresh,LeeSin,Hecarim
4104,Pantheon,Irelia,Tristana,Orianna,Lucian,Kaisa,Bard,Blitzcrank,LeeSin,Ekko
4107,Teemo,Kennen,Akali,Malphite,Ashe,Kaisa,Bard,Thresh,XinZhao,LeeSin
4111,Garen,Shyvana,Ahri,Orianna,Lucian,Jhin,Leona,Taric,MasterYi,Graves
4116,Kennen,Kayle,Akali,Qiyana,Kaisa,Jinx,Bard,Morgana,LeeSin,Ekko
4117,Quinn,Ornn,Zed,Yasuo,Lucian,Kaisa,Thresh,Bard,Elise,Ekko
4119,Talon,Nasus,Zoe,Malphite,Ashe,Kaisa,Leona,Blitzcrank,Garen,LeeSin
4128,Gangplank,Jax,Ahri,Fizz,Kaisa,Ashe,Karma,Bard,Ivern,Elise
4138,Quinn,Renekton,Zoe,TwistedFate,Ezreal,Caitlyn,Xerath,Bard,Elise,LeeSin
4140,Darius,Renekton,Viktor,Heimerdinger,Lucian,Kaisa,Bard,Janna,Graves,Elise
4142,Kayle,Olaf,TwistedFate,Lucian,Ezreal,Kaisa,Bard,Soraka,Zac,LeeSin
4144,Irelia,Kennen,Orianna,Renekton,Ezreal,Kaisa,Bard,Thresh,Qiyana,Karthus
4146,Garen,Quinn,Qiyana,Ryze,MissFortune,Varus,Alistar,Bard,Nidalee,Evelynn
4149,Kled,Kennen,TwistedFate,AurelionSol,Jinx,Ezreal,Leona,Bard,XinZhao,LeeSin
4150,Camille,Mordekaiser,TwistedFate,Pyke,Ashe,Varus,Bard,TahmKench,JarvanIV,LeeSin
4151,Darius,Camille,Lissandra,TwistedFate,Ezreal,Lucian,Bard,Braum,LeeSin,Ekko
4152,Ryze,Malphite,Talon,Leblanc,Kaisa,Lucian,Thresh,Bard,Gragas,RekSai
4154,Kled,Chogath,Zoe,Zed,Ezreal,Lucian,Bard,Thresh,Olaf,Nidalee
4157,Teemo,TwistedFate,Viktor,Diana,MissFortune,Lucian,Sona,Pyke,LeeSin,LeeSin
4159,Garen,Skarner,Kayle,Ezreal,Ashe,Ashe,Thresh,Nami,Evelynn,Elise
4162,Syndra,Vayne,Garen,TwistedFate,Caitlyn,Lucian,Swain,Lux,Riven,LeeSin
4165,Malphite,Darius,Galio,Irelia,Ezreal,Caitlyn,Thresh,Morgana,Ivern,Hecarim
4181,Renekton,Rengar,Talon,Qiyana,MissFortune,Kaisa,Leona,Bard,Taliyah,Elise
4183,Aatrox,Garen,Kayle,Talon,MissFortune,Lucian,Bard,Soraka,LeeSin,Ekko
4188,Chogath,Akali,Talon,Ezreal,KogMaw,Ashe,Bard,Soraka,XinZhao,Olaf
4189,Camille,Tristana,Ekko,Fizz,Ezreal,Caitlyn,Yuumi,Lux,Evelynn,Zac
4192,Aatrox,Kled,AurelionSol,Velkoz,Varus,Xayah,Morgana,Nautilus,Twitch,Kindred
4193,Gangplank,Pantheon,TwistedFate,Zed,Draven,Ezreal,Fiddlesticks,Bard,Elise,Sejuani
4196,Vladimir,Gangplank,Irelia,Leblanc,Jinx,Kaisa,Braum,Nautilus,Karthus,Zac
4198,Renekton,Kayle,Pantheon,Akali,Caitlyn,Kaisa,Bard,Morgana,Taliyah,Kindred
4201,Camille,Poppy,Aatrox,Vladimir,Kaisa,Yasuo,Leona,Galio,Gragas,LeeSin
4205,Akali,Nasus,Ekko,Ornn,Kaisa,Yasuo,Lulu,Soraka,Vi,Shaco
4207,Jayce,Malzahar,Akali,Vladimir,Ezreal,Yasuo,Blitzcrank,Pyke,XinZhao,Shaco
4209,Jax,Vayne,Fizz,Vladimir,Kaisa,Ezreal,Blitzcrank,Braum,Elise,Shaco
4215,Vladimir,Irelia,Renekton,Kassadin,Jinx,Lucian,Nautilus,Rakan,Shaco,Taliyah
4221,Teemo,Riven,Qiyana,Vladimir,Kaisa,Lucian,Leona,Alistar,DrMundo,Shaco
4223,Akali,Fiora,Qiyana,Vladimir,Lucian,Ezreal,Pyke,Lux,Sylas,Elise
4224,Vladimir,Gangplank,Zoe,Rumble,Xayah,Ezreal,Thresh,Karma,Nunu,Khazix
4228,Vladimir,Tryndamere,Pyke,Qiyana,Kaisa,Caitlyn,Blitzcrank,Karma,Camille,Nidalee
4236,Tryndamere,Vladimir,Kassadin,Yasuo,Kaisa,Lucian,Thresh,Braum,Olaf,Gragas
4238,Kayle,Irelia,Vladimir,Zoe,Kaisa,Jinx,Karma,Janna,Nocturne,JarvanIV
4239,Pantheon,Rengar,AurelionSol,Vladimir,Ezreal,Lucian,Rakan,Leona,RekSai,Sylas
4240,Karma,Quinn,Sylas,Vladimir,Xayah,Kaisa,Rakan,Braum,XinZhao,JarvanIV
4248,Kled,Gangplank,Vladimir,Sylas,Lucian,Caitlyn,Lux,Blitzcrank,Vi,Karthus
4262,Kennen,Jax,Vladimir,Taliyah,Kaisa,Xayah,Blitzcrank,Karma,LeeSin,Karthus
4265,Aatrox,Vladimir,Orianna,Ornn,Lucian,Kaisa,Nautilus,Janna,Gragas,Evelynn
4269,Rengar,Karma,Ornn,Fizz,Ezreal,Xayah,Nautilus,Lux,MasterYi,RekSai
4275,Zed,Sion,Jayce,Rumble,Lucian,Kaisa,Karma,Pyke,Nidalee,Vi
4276,Fiora,Mordekaiser,Zed,Irelia,Vayne,Ezreal,Lux,Sona,LeeSin,Rammus
4278,Teemo,Riven,Vladimir,Camille,Lucian,Xayah,Braum,Nautilus,JarvanIV,Kayn
4281,Camille,Riven,Sylas,Vladimir,Ezreal,Kaisa,Pyke,Leona,Gragas,Zac
4285,Pyke,Darius,Yasuo,Rumble,Caitlyn,Lucian,Warwick,Nautilus,Ekko,Sejuani
4286,Quinn,Sylas,Vladimir,Ryze,Irelia,Lucian,Morgana,Pyke,Sejuani,RekSai
4287,Vladimir,Jax,Irelia,Teemo,Tristana,Ezreal,Morgana,Karma,Skarner,Khazix
4292,Viktor,Karma,Vladimir,Talon,Kaisa,Draven,Thresh,Fiddlesticks,Camille,Rammus
4294,Jayce,Neeko,Vladimir,Orianna,Ezreal,Jhin,Maokai,Lux,LeeSin,Nidalee
4296,Jayce,Camille,Vladimir,Zoe,Xayah,Kaisa,Lux,Karma,LeeSin,Udyr
4297,Vladimir,Akali,Pantheon,Kassadin,Ezreal,Sivir,Yuumi,Sona,Taliyah,Rengar
4299,Vladimir,Gangplank,Rumble,TwistedFate,Xayah,Kaisa,Morgana,Thresh,LeeSin,Ekko
4302,Camille,Irelia,Yasuo,TwistedFate,MissFortune,Ezreal,Swain,Blitzcrank,Gragas,LeeSin
4305,Illaoi,Ryze,Zoe,Heimerdinger,Xayah,Lucian,Thresh,Braum,Gragas,XinZhao
4312,Camille,Vladimir,TwistedFate,Sylas,Lucian,Vayne,Nautilus,Alistar,Evelynn,Khazix
4313,Quinn,Fiora,Syndra,TwistedFate,Lucian,Ezreal,Rakan,Bard,LeeSin,DrMundo
4316,Aatrox,Jayce,Pyke,Vladimir,Ezreal,Varus,Karma,Morgana,Elise,Nidalee
4318,Akali,Illaoi,Galio,Talon,Ezreal,MissFortune,Gragas,Blitzcrank,Camille,Karthus
4321,Irelia,Yorick,Qiyana,Galio,Kaisa,Jinx,Morgana,Thresh,Ekko,Amumu
4322,Gangplank,Zilean,Pantheon,Akali,Kaisa,Lucian,Blitzcrank,Thresh,RekSai,LeeSin
4323,Urgot,Ornn,Katarina,Velkoz,Vayne,Kaisa,MissFortune,Zilean,Khazix,JarvanIV
4325,Pantheon,Heimerdinger,Pyke,Camille,Ezreal,Kaisa,Nautilus,Thresh,Ekko,Nidalee
4326,Jax,Sylas,Fizz,Talon,Heimerdinger,Ashe,Janna,Zilean,Khazix,LeeSin
4330,Vladimir,Ryze,Zilean,TwistedFate,Kaisa,Ezreal,Thresh,Zac,LeeSin,Taliyah
4331,Aatrox,Swain,TwistedFate,Karma,Jinx,Kaisa,Thresh,Nautilus,Pantheon,RekSai
4332,Jax,Zilean,Orianna,Talon,Kaisa,MissFortune,Volibear,Ashe,Karthus,Ekko
4333,Kayle,Aatrox,TwistedFate,Vladimir,Xayah,Ezreal,Thresh,Blitzcrank,Ekko,Kindred
4335,Jax,Camille,Xerath,AurelionSol,Ashe,Lucian,Janna,Pyke,Elise,Nidalee
4336,Maokai,Gangplank,TwistedFate,Leblanc,Lucian,Vayne,Alistar,Morgana,LeeSin,RekSai
